MSEC,ICOUNT,"COUNT DELTA",COUNT/MSEC,"TOTAL AMP","AVG AMP",VOLT,JOULES
1289.324,2438,65,3.246104674,101.3,16.88333333,10.4,21.09568448
1309.232,2503,65,3.265019088,101.3,16.88333333,10.4,20.97347616
1328.88,2565,62,3.155537459,101.3,16.88333333,10.4,20.69956096
1348.712,2630,65,3.277531263,96.1,16.01666667,10.5,20.0114796
1369.294,2696,66,3.206685453,96.1,16.01666667,10.5,20.7682671
1389.366,2762,66,3.288162615,96.1,16.01666667,10.5,20.2536516
1408.747,2827,65,3.353800114,96.1,16.01666667,10.5,19.55639805
1429.687,2898,71,3.390639924,92.7,15.45,10.6,20.5760628
1449.326,2965,67,3.411579001,92.7,15.45,10.6,19.29767418
1468.926,3032,67,3.418367347,86.7,14.45,10.8,18.352656
1488.201,3098,66,3.424124514,86.7,14.45,10.8,18.048339
1508.339,3168,70,3.476015493,86.7,14.45,10.6,18.50722476
1529.854,3242,74,3.439460841,86.7,14.45,10.7,19.95925035
1548.911,3307,65,3.410820171,82.2,13.7,10.8,16.91804232
1568.999,3376,69,3.434886499,82.2,13.7,10.7,17.66819952
1588.344,3446,70,3.618506074,80.7,13.45,10.7,16.70421405
1609.552,3521,75,3.536401358,81,13.5,10.7,18.3809736
1628.873,3589,68,3.519486569,81,13.5,10.8,16.9020108
1648.663,3659,70,3.53713997,81,13.5,10.8,17.312292
1668.454,3730,71,3.587489263,77.4,12.9,10.8,16.54369272
1688.614,3801,71,3.521825397,77.4,12.9,10.8,16.8521472
1708.615,3872,71,3.549822509,77.4,12.9,10.8,16.71923592
1728.541,3944,72,3.613369467,76.2,12.7,10.9,16.55013708
1748.653,4017,73,3.629673827,76.2,12.7,10.9,16.70462496
1769.029,4091,74,3.631723596,76.2,12.7,10.9,16.92389808
1789.102,4163,72,3.586907787,73.6,12.26666667,10.9,16.10336352
1808.62,4236,73,3.740137309,73.6,12.26666667,10.8,15.51446784
1828.551,4307,71,3.5622899,73.6,12.26666667,10.9,15.98944544
1849.017,4383,76,3.713476009,75.2,12.53333333,11,16.9294752
1868.62,4455,72,3.672907208,71,11.83333333,11,15.309943
1889.282,4531,76,3.678249927,71,11.83333333,11,16.137022
1908.788,4604,73,3.742438224,71,11.83333333,11,15.234186
1929.931,4683,79,3.73646124,69.1,11.51666667,10.9,15.92469617
1948.948,4756,73,3.838670663,69.1,11.51666667,11,14.4548217
1969.147,4830,74,3.6635477,69.1,11.51666667,11.1,15.49283499
1990.574,4910,80,3.733607131,67.1,11.18333333,11,15.8152687
2009.173,4981,71,3.817409538,67.1,11.18333333,11,13.7279219
2032.285,5067,86,3.72101073,67.1,11.18333333,11.1,17.21404872
2064.167,5185,118,3.701147983,66.6,11.1,11.2,23.78142144
2070.071,5211,26,4.403794038,66.6,11.1,11.1,4.36459104
2089.181,5284,73,3.819989534,66.6,11.1,11.1,14.1272586
2109.144,5360,76,3.80704303,66.6,11.1,11.1,14.75784738
2130.411,5441,81,3.808717732,64.6,10.76666667,11.2,15.38709984
2148.875,5510,69,3.737001733,64.6,10.76666667,11.2,13.35907328
2169.684,5589,79,3.796434235,63.3,10.55,11.1,14.62102767
2189.437,5665,76,3.847516833,63.3,10.55,11.1,13.87905039
2209.124,5742,77,3.911210443,63.3,10.55,11.1,13.83267681
2229.526,5820,78,3.823154593,63.3,10.55,11.2,14.46420192
2248.876,5898,78,4.031007752,61.7,10.28333333,11.2,13.371624
2268.788,5974,76,3.816793893,61.7,10.28333333,11.2,13.75998848
2289.165,6053,79,3.876920057,59.3,9.883333333,11.2,13.53358832
2308.95,6130,77,3.89183725,59.3,9.883333333,11.3,13.25773065
2329.199,6210,80,3.950812386,59.3,9.883333333,11.2,13.44857584
2348.945,6287,77,3.899523954,59.3,9.883333333,11.2,13.11450336
2369.449,6366,79,3.85290675,57.9,9.65,11.2,13.29643392
2388.762,6443,77,3.986951794,57.9,9.65,11.2,12.52409424
2408.757,6522,79,3.950987747,57.9,9.65,11.2,12.9663576
2429.908,6604,82,3.876885254,57.9,9.65,11.2,13.71600048
2448.736,6680,76,4.036541321,57.9,9.65,11.2,12.20958144
2469.939,6763,83,3.914540395,57.9,9.65,11.3,13.87248681
2488.604,6837,74,3.9646397,55.7,9.283333333,11.3,11.74793765
2508.803,6917,80,3.960592109,55.6,9.266666667,11.4,12.80293416
2528.901,6998,81,4.030251766,55.6,9.266666667,11.3,12.62717144
2548.631,7076,78,3.953370502,55.6,9.266666667,11.3,12.3959644
2569.414,7157,81,3.897416157,54.2,9.033333333,11.4,12.84140004
2589.33,7237,80,4.016870858,54.2,9.033333333,11.4,12.30569808
2609.115,7317,80,4.043467273,54.2,9.033333333,11.2,12.0102864
2629.311,7398,81,4.010695187,53.5,8.916666667,11.3,12.2094918
2649.548,7478,80,3.953155112,53.5,8.916666667,11.2,12.1260104
2669.171,7557,79,4.025887989,53.5,8.916666667,11.4,11.9680677
2693.128,7654,97,4.048920983,52.3,8.716666667,11.4,14.28364254
2709.106,7719,65,4.068093629,52.3,8.716666667,11.4,9.52640316
2728.751,7797,78,3.970475948,52.3,8.716666667,11.4,11.7127419
2748.923,7878,81,4.015466984,50.2,8.366666667,11.4,11.54403216
2769.074,7959,81,4.01965163,50.2,8.366666667,11.4,11.53201428
2789.713,8040,81,3.92460875,50.2,8.366666667,11.4,11.81128692
2808.983,8119,79,4.099636741,50.2,8.366666667,11.4,11.0278356
2829.134,8202,83,4.118902288,50.5,8.416666667,11.4,11.6009307
2851.712,8293,91,4.030472141,50.5,8.416666667,11.4,12.9981546
2869.048,8363,70,4.037840332,50,8.333333333,11.4,9.88152
2889.868,8446,83,3.986551393,49.7,8.283333333,11.4,11.7961956
2908.581,8523,77,4.114786512,49.7,8.283333333,11.5,10.69541515
2928.791,8605,82,4.057397328,49.7,8.283333333,11.4,11.4505818
2954.061,8706,101,3.996834191,49.3,8.216666667,11.4,14.2022454
2969.08,8765,59,3.928357414,49.3,8.216666667,11.4,8.44097838
2988.904,8845,80,4.03551251,49.3,8.216666667,11.4,11.14148448
3008.69,8927,82,4.144344486,49.3,8.216666667,11.4,11.12012772
3028.905,9009,82,4.056393767,50.6,8.433333333,11.4,11.6608206
3048.877,9090,81,4.055677949,50.6,8.433333333,11.5,11.6217068
3069.306,9172,82,4.013901806,49.8,8.3,11.4,11.59795188
3089.032,9253,81,4.106255703,49.8,8.3,11.4,11.19884472
3109.383,9335,82,4.02928603,49.8,8.3,11.5,11.6550177
3128.828,9415,80,4.114168167,49.8,8.3,11.4,11.0393154
3148.706,9496,81,4.074856625,48.5,8.083333333,11.4,10.9905462
3169.53,9580,84,4.033807146,48.5,8.083333333,11.4,11.5135896
3189.355,9660,80,4.035308953,48.6,8.1,11.4,10.983843
3208.847,9740,80,4.104247897,48.6,8.1,11.4,10.79934768
3229.555,9824,84,4.056403322,48.6,8.1,11.4,11.47306032
3249.092,9903,79,4.043609561,48.6,8.1,11.4,10.82427948
3271.185,9993,90,4.073688499,48.4,8.066666667,11.6,12.40389392
3289.071,10066,73,4.08140445,48.4,8.066666667,11.6,10.04191584
3309.095,10149,83,4.145025969,48.4,8.066666667,11.4,11.04844224
3328.931,10229,80,4.033071184,46,7.666666667,11.6,10.5844896
3348.901,10312,83,4.156234352,46,7.666666667,11.4,10.472268
3368.865,10393,81,4.057303146,46,7.666666667,11.6,10.6527904
3389.803,10478,85,4.059604547,44.4,7.4,11.6,10.78390752
3412.414,10571,93,4.113042325,44.4,7.4,11.4,11.44478376
3430.005,10644,73,4.149849355,44.4,7.4,11.4,8.90386056
3448.665,10722,78,4.180064309,44.8,7.466666667,11.5,9.613632
3469.098,10805,83,4.062056477,44.9,7.483333333,11.6,10.64232372
3489.738,10890,85,4.118217054,44.9,7.483333333,11.4,10.5647904
3509.738,10973,83,4.15,44.9,7.483333333,11.4,10.2372
3528.913,11052,79,4.119947849,44.6,7.433333333,11.5,9.8348575
3548.914,11134,82,4.09979501,44.6,7.433333333,11.5,10.2585129
3569.009,11217,83,4.130380692,44.6,7.433333333,11.4,10.2171018
3589.107,11299,82,4.080007961,47.4,7.9,11.4,10.86015528
3609.782,11383,84,4.062877872,47.4,7.9,11.5,11.2699425
3629.144,11464,81,4.183452123,47.4,7.9,11.4,10.46245032
3649.734,11548,84,4.079650316,47,7.833333333,11.4,11.032122
3670.806,11636,88,4.176157935,47,7.833333333,11.5,11.389416
3689.417,11711,75,4.029874805,47,7.833333333,11.5,10.0592455
3709.047,11793,82,4.177279674,47,7.833333333,11.4,10.517754
3729.114,11876,83,4.136143918,46.7,7.783333333,11.4,10.68326946
3748.923,11958,82,4.139532536,46.7,7.783333333,11.5,10.63842345
3770.158,12043,85,4.002825524,46.7,7.783333333,11.4,11.3050893
3789.73,12124,81,4.138565297,46.7,7.783333333,11.4,10.41974136
3808.97,12207,83,4.313929314,46.7,7.783333333,11.5,10.332842
3829.038,12289,82,4.086107235,46.7,7.783333333,11.6,10.87123696
3849.422,12373,84,4.120879121,44.9,7.483333333,11.6,10.61680256
3871.204,12463,90,4.131851988,44.9,7.483333333,11.6,11.34493688
